#,x,y,E,Width,Length,Iterations
110.0,0.01,5.0,1641063.0,,,
110.0,0.5865835701544467,6.285814737756924,270020.52404225024,,,
111.0,0.01,5.0,1641063.0,,,
112.0,0.01,5.0,1641063.0,,,
113.0,0.01,5.0,1641063.0,,,
113.0,0.5219398783742101,4.9301966803747455,1617983.4613792386,,,
113.0,4.015832188776087,5.020127851295258,1623935.1532622862,,,
113.0,9.640829175754442,6.007813942670054,1582002.3571440738,,,
114.0,0.01,5.0,1641063.0,,,
114.0,2.6077759536363505,2.8069313226568,959401.2148034943,,,
114.0,4.7531739864409275,4.979556890641249,871605.7874459343,,,
114.0,7.05256160133812,3.293956820418253,568092.8266811705,,,
115.0,0.01,5.0,1641063.0,,,
115.0,1.1495088476327204,5.713481731891202,1182024.3839459086,,,
115.0,2.7351632951277414,4.471207056115014,733700.568939339,,,
116.0,0.01,5.0,1641063.0,,,
116.0,6.077981104805129,7.919329304387319,1529919.5345179476,,,
116.0,7.197480511538649,7.613938505376573,1429687.7911617253,,,
116.0,8.558086407396193,5.3609155703671885,379203.61941534583,,,
117.0,0.01,5.0,1641063.0,,,
117.0,0.434482935684017,5.858929483709295,317825.79467082943,,,
117.0,0.48368951646903097,5.7926348998210075,284758.81873608055,,,
118.0,0.01,5.0,1641063.0,,,
118.0,5.067016853744416,3.0474555058045505,1433447.1304313622,,,
118.0,6.4608004383100255,3.4414044706015963,1332714.5486165227,,,
118.0,7.84398683079138,2.0781296104132405,676127.4113132341,,,
119.0,0.01,5.0,1641063.0,,,
119.0,5.309054593640815,7.019036727064938,1438356.5748891248,,,
120.0,0.01,5.0,1641063.0,,,
121.0,0.01,5.0,1641063.0,,,
121.0,3.0722433304714682,2.128452049489334,873703.3377481224,,,
121.0,3.7701712757583508,2.8404683620098155,428063.0594334562,,,
121.0,3.3833529169869156,2.964311589736099,313451.8625403972,,,
121.0,4.112641205181835,3.4546165014081853,216394.68972492687,,,
122.0,0.01,5.0,1641063.0,,,
122.0,1.2009083399520628,4.948605275183097,1645118.4349556665,,,
123.0,0.01,5.0,1641063.0,,,
123.0,7.224418996389707,6.17347253830998,1547115.0464422451,,,
123.0,9.386598694976307,5.46455597342017,1402369.222532859,,,
124.0,0.01,5.0,1641063.0,,,
124.0,1.9188295336037822,4.2083233638151425,1534420.192556709,,,
124.0,4.541034251996125,1.1639088741507488,652557.526556859,,,
124.0,6.495848514544076,4.836430487249063,575134.2558743907,,,
124.0,5.792898022580603,4.987680836447093,419764.56636395067,,,
124.0,7.521473939203039,6.5721232379534005,228275.47352267086,,,
124.0,6.965280584476783,4.049840168751143,184000.38168058894,,,
125.0,0.01,5.0,1641063.0,,,
125.0,5.091226588418769,0.06096752392922422,1493693.545195279,,,
126.0,0.01,5.0,1641063.0,,,
126.0,2.5423681617705363,3.151500419939122,1072809.4519114722,,,
126.0,2.2793131224495315,2.02908755277018,863286.4318581457,,,
127.0,0.01,5.0,1641063.0,,,
127.0,0.23575978123007774,4.882291338439738,1527050.4547613496,,,
128.0,0.01,5.0,1641063.0,,,
128.0,1.012487116969435,6.869403769774321,362611.62139829615,,,
129.0,0.01,5.0,1641063.0,,,
130.0,0.01,5.0,1641063.0,,,
130.0,4.737343658855557,5.659030631953003,1616639.400881823,,,
131.0,0.01,5.0,1641063.0,,,
131.0,0.11219700871299045,5.012244247529854,1624771.3487720264,,,
131.0,3.1789596719909343,6.324810581967402,1518323.5294886958,,,
131.0,4.118957759805351,7.523113064765343,1364116.8337155257,,,
131.0,6.057179907438962,7.937997771445485,1309764.2366294507,,,
131.0,6.115091866087415,7.902771066586886,958660.8275876536,,,
132.0,0.01,5.0,1641063.0,,,
132.0,1.8415566590020742,5.015695859386019,1549720.74470616,,,
132.0,6.649920905878889,8.038079187107918,1113771.3261260118,,,
132.0,9.7825516673106,5.5618423945446835,686601.4462101739,,,
132.0,7.990563219667079,4.110662073619147,514368.4304114399,,,
132.0,8.69622576498743,3.6915718247354836,476959.1010886142,,,
132.0,8.812506855692964,5.102410374431412,399653.1059097371,,,
133.0,0.01,5.0,1641063.0,,,
133.0,0.2619283038103754,4.325097872342681,195321.94595795113,,,
134.0,0.01,5.0,1641063.0,,,
134.0,1.3715041933343886,7.926529394132334,287422.67854744144,,,
135.0,0.01,5.0,1641063.0,,,
135.0,0.09513416307482185,5.000121281088065,1648192.152248287,,,
136.0,0.01,5.0,1641063.0,,,
136.0,3.6623424802876667,5.876534646024133,1544171.1467877594,,,
136.0,4.196404357126379,5.697857110258327,1448459.1018870538,,,
137.0,0.01,5.0,1641063.0,,,
137.0,2.9511078063071072,8.909180272434188,591218.7147546218,,,
138.0,0.01,5.0,1641063.0,,,
139.0,0.01,5.0,1641063.0,,,
139.0,2.481010263836119,4.790766620468833,1549009.4102015088,,,
139.0,3.1837062322293876,5.116492414247659,1279406.8241418141,,,
140.0,0.01,5.0,1641063.0,,,
140.0,0.03652110095377438,7.925135978629841,1362040.097331825,,,
140.0,0.4428363601922125,8.313843173461644,1240618.9969529246,,,
